id,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
343,7.9,2.4,0.5,1,-0.2,-0.026,-5.7,-0.4
344,19.6,7.3,4.4,0.9,13.5,0.072,-3.6,-3.6
345,34.4,15.7,4.4,2.9,85.2,0.108,1,28.8
346,9.8,3.4,2.1,0.2,0.8,0.029,-7.5,-1.8
347,21.4,7.6,1.8,3.5,30.9,0.098,-0.4,6
348,14.6,4.6,3.4,0.6,0.5,0.012,-7.2,-2.7
349,9.8,2.9,3.1,0.3,0.6,0.026,-6.4,-1.3
350,5,3.2,0.9,0.2,0.4,0.124,-5.2,-0.1
351,8.9,4,2.7,0.4,1.9,0.153,-0.8,0.2
352,19.5,4.6,5.5,0.6,33.8,0.11,-0.6,5.1
353,15.8,5.5,1.6,2.7,3,0.03,-1.7,0.4
354,7.3,2,1.4,0.3,0,-0.001,-4.9,-0.4
355,13.9,2.4,2.8,0.7,-0.2,-0.016,-7.3,-0.8
356,11.3,2.9,1.2,1.5,-0.2,-0.021,-4,-0.2
357,8.1,3.1,1.8,0.2,-0.2,-0.018,-7.5,-0.7
358,16.8,4.8,4.2,0.6,19.3,0.094,-2.9,-2.4
359,13.9,4.5,1.8,1.4,0,0.001,-4.6,-0.6
360,15.2,6.3,1.5,1.5,0,0.001,-2.1,0
361,6.1,2.1,1.2,0.5,0,0.025,-4.7,-0.1
362,,,,,,,,
363,7.7,2.5,1,0.3,0.9,0.045,-3.8,-0.4
364,15.3,5,3.1,0.3,0,0.01,-7.2,-0.2
365,,,,,,,,
366,6.5,2.6,0.8,0.5,-0.3,-0.064,-4.9,-0.1
367,27.3,6.8,2.5,5,43.4,0.09,-1,5.9
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,21,7.6,1.7,4,6.8,0.068,-1.5,0.7
372,16,5.5,3,1.3,2.3,0.03,-2.4,-0.4
373,11.2,2.9,1.1,1.7,0.2,0.006,-3.2,-0.4
374,9.6,3.6,1.4,0.3,0.1,0.026,-5,-0.2
375,,,,,,,,
376,18.4,5.4,2.7,1.6,27.6,0.133,1.2,8
377,,,,,,,,
378,,,,,,,,
379,4,0,1,0,-0.1,-0.638,-32.4,0
380,15.2,6.7,2.2,1,3.9,0.042,-3,-1.1
381,4.6,1.3,0.4,0.4,-0.1,-0.151,-6.3,0
382,13.3,3.6,2.9,0.4,13.7,0.123,-2.1,-0.2
383,41.1,26.7,3.7,6.2,99,0.126,3.2,49.6
384,29.5,9.5,9.8,1.9,81.6,0.137,2.3,31.3
385,34.8,18.1,7.5,2.5,71.2,0.118,1,21.9
386,37.7,19.3,3,7.6,77.5,0.117,1.8,30.7
387,35.6,18.9,4.1,3.4,145.1,0.15,2.9,57.6
388,35.3,17.5,7.7,3.5,38.1,0.058,0.3,18
389,23.8,8,6.4,0.8,30.5,0.079,-2.6,-3
390,33.4,14.1,3.9,2.6,44.8,0.127,2.2,18
391,17.1,5.3,4.7,0.6,14.2,0.089,-2.6,-1.1
392,24.3,7.4,7.1,0.8,52.7,0.105,-1.3,4.1
393,11.1,3.7,3,0.2,2.2,0.041,-5.7,-2.3
394,19,6.5,4.5,0.7,15.5,0.064,-4,-5.9
